Attributes,workday|05/00,weekend|05/00,workday|06/00,weekend|06/00,workday|07/00,weekend|07/00,workday|08/00,weekend|08/00,workday|09/00,weekend|09/00,workday|10/00,weekend|10/00,workday|11/00,weekend|11/00,workday|12/00,weekend|12/00,workday|13/00,weekend|13/00,workday|14/00,weekend|14/00,workday|15/00,weekend|15/00,workday|16/00,weekend|16/00,workday|17/00,weekend|17/00,workday|18/00,weekend|18/00,workday|19/00,weekend|19/00,workday|20/00,weekend|20/00,workday|21/00,weekend|21/00,workday|22/00,weekend|22/00,workday_uniformality,weekend_uniformality,entire_uniformality
Motorway,-0.072**,-0.067**,-0.071***,-0.066**,-0.048*,-0.062**,-0.052**,-0.066**,-0.055**,-0.066**,-0.056**,-0.058**,-0.042*,-0.062**,-0.047**,-0.082***,-0.06**,-0.082***,-0.045*,-0.063**,-0.064***,-0.071***,-0.047**,-0.06**,-0.048**,-0.061**,-0.051**,-0.072***,-0.059**,-0.076***,-0.056**,-0.074***,-0.057**,-0.063**,-0.071***,-0.068**,-0.048**,-0.058**,-0.05**
Primary roads,0.089***,0.106***,0.072***,0.108***,0.074***,0.093***,0.065**,0.076***,0.063**,0.068**,0.061**,0.069**,0.068***,0.06**,0.063***,0.052*,0.058**,0.062**,0.064***,0.073***,0.057**,0.065**,0.063**,0.07***,0.061**,0.072***,0.062**,0.07**,0.066**,0.078***,0.068***,0.062**,0.077***,0.09***,0.075***,0.094***,0.062***,0.06**,0.062***
Secondary roads,0.06***,0.052**,0.048***,0.057***,0.054***,0.053***,0.047***,0.051***,0.043**,0.046**,0.046***,0.047**,0.048***,0.042**,0.044***,0.039**,0.045***,0.044**,0.046***,0.044**,0.041**,0.048***,0.048***,0.052***,0.045***,0.051***,0.046***,0.052***,0.045***,0.051***,0.047***,0.052***,0.05***,0.059***,0.05***,0.056***,0.046***,0.046***,0.047***
Tertiary roads,0.138***,0.157***,0.124***,0.145***,0.124***,0.139***,0.121***,0.136***,0.117***,0.123***,0.116***,0.125***,0.114***,0.117***,0.108***,0.122***,0.113***,0.126***,0.109***,0.123***,0.111***,0.125***,0.114***,0.124***,0.116***,0.123***,0.11***,0.127***,0.122***,0.134***,0.124***,0.118***,0.126***,0.128***,0.125***,0.145***,0.107***,0.108***,0.107***
Pedestrian roads,0.116***,0.126***,0.094***,0.116***,0.088***,0.104***,0.102***,0.111***,0.091***,0.111***,0.091***,0.106***,0.083***,0.109***,0.087***,0.097***,0.089***,0.106***,0.093***,0.114***,0.093***,0.101***,0.097***,0.094***,0.091***,0.102***,0.095***,0.111***,0.094***,0.118***,0.09***,0.109***,0.097***,0.115***,0.098***,0.115***,0.078***,0.089***,0.078***
Roads diversity,0.195***,0.228***,0.185***,0.178***,0.168***,0.182***,0.183***,0.198***,0.181***,0.199***,0.179***,0.194***,0.158***,0.204***,0.167***,0.207***,0.18***,0.198***,0.171***,0.191***,0.19***,0.187***,0.172***,0.175***,0.176***,0.178***,0.177***,0.194***,0.181***,0.202***,0.189***,0.205***,0.185***,0.198***,0.187***,0.215***,0.145***,0.167***,0.145***
Toll Station,0.037,-0.007,0.036,0.033,0.019,0.025,0.023,0.027,0.025,0.025,0.035,0.042,0.033,0.041,0.021,0.047,0.036,0.038,0.029,0.038,0.037,0.043,0.032,0.026,0.027,0.032,0.025,0.044,0.031,0.03,0.029,0.032,0.032,0.047,0.023,0.036,0.026,0.027,0.025
Bus Station,0.3***,0.334***,0.277***,0.3***,0.27***,0.294***,0.264***,0.282***,0.26***,0.279***,0.261***,0.273***,0.263***,0.279***,0.262***,0.282***,0.259***,0.28***,0.262***,0.286***,0.261***,0.279***,0.258***,0.272***,0.259***,0.28***,0.262***,0.276***,0.27***,0.29***,0.271***,0.285***,0.275***,0.298***,0.28***,0.314***,0.253***,0.262***,0.254***
Airport,0.048,-0.066,-0.098,-0.097,0.051,0.09,-0.042,-0.167*,-0.12,-0.181**,0.041,-0.019,0.046,-0.106,0.05,0.111,0.057,-0.097,0.048,-0.107,0.058,-0.103,0.054,-0.112,0.054,-0.117,0.038,-0.097,0.059,0.05,0.058,0.068,-0.119,-0.097,0.067,0.012,0.043,0.053,0.043
Train Station,0.04,0.033,0.043,0.046,0.042,0.043,0.039,0.04,0.042,0.041,0.041,0.039,0.046,0.039,0.041,0.041,0.039,0.039,0.04,0.04,0.038,0.041,0.04,0.04,0.04,0.039,0.043,0.038,0.043,0.039,0.043,0.04,0.042,0.04,0.041,0.047,0.044,0.043,0.044
