Attributes,workday|00/00,weekend|00/00,workday|01/00,weekend|01/00,workday|02/00,weekend|02/00,workday|03/00,weekend|03/00,workday|04/00,weekend|04/00,workday|05/00,weekend|05/00,workday|06/00,weekend|06/00,workday|07/00,weekend|07/00,workday|08/00,weekend|08/00,workday|09/00,weekend|09/00,workday|10/00,weekend|10/00,workday|11/00,weekend|11/00,workday|12/00,weekend|12/00,workday|13/00,weekend|13/00,workday|14/00,weekend|14/00,workday|15/00,weekend|15/00,workday|16/00,weekend|16/00,workday|17/00,weekend|17/00,workday|18/00,weekend|18/00,workday|19/00,weekend|19/00,workday|20/00,weekend|20/00,workday|21/00,weekend|21/00,workday|22/00,weekend|22/00,workday|23/00,weekend|23/00,workday_psm,weekend_psm,entire_psm
Motorway,0.073**,0.078**,0.047,0.106***,0.058,0.09**,0.082**,0.143***,0.078**,0.086**,0.08**,0.045,0.087**,0.058,0.119***,0.085**,0.104***,0.073**,0.09***,0.058*,0.085***,0.037,0.086***,0.065**,0.073**,0.034,0.087***,0.041,0.091***,0.056*,0.085***,0.06*,0.101***,0.072**,0.107***,0.071**,0.105***,0.059*,0.078**,0.064*,0.079**,0.048,0.074**,0.07**,0.059*,0.076**,0.081**,0.09**,0.083***,0.071**,0.077**
Primary roads,0.175***,0.146***,0.171***,0.167***,0.167***,0.146***,0.171***,0.163***,0.223***,0.158***,0.214***,0.186***,0.195***,0.195***,0.195***,0.192***,0.179***,0.168***,0.168***,0.147***,0.163***,0.15***,0.161***,0.149***,0.147***,0.139***,0.163***,0.156***,0.177***,0.173***,0.169***,0.176***,0.175***,0.172***,0.185***,0.168***,0.186***,0.165***,0.176***,0.191***,0.171***,0.148***,0.17***,0.165***,0.175***,0.17***,0.168***,0.186***,0.178***,0.173***,0.176***
Secondary roads,0.125***,0.124***,0.121***,0.116***,0.163***,0.112***,0.143***,0.11***,0.156***,0.114***,0.128***,0.123***,0.127***,0.12***,0.139***,0.141***,0.133***,0.121***,0.123***,0.09***,0.125***,0.098***,0.118***,0.095***,0.117***,0.084***,0.125***,0.094***,0.129***,0.112***,0.121***,0.112***,0.134***,0.112***,0.132***,0.116***,0.134***,0.108***,0.127***,0.122***,0.123***,0.115***,0.113***,0.121***,0.118***,0.11***,0.119***,0.136***,0.13***,0.115***,0.123***
Tertiary roads,0.321***,0.269***,0.356***,0.274***,0.38***,0.338***,0.383***,0.345***,0.376***,0.352***,0.321***,0.307***,0.306***,0.305***,0.321***,0.295***,0.298***,0.24***,0.282***,0.215***,0.281***,0.207***,0.292***,0.192***,0.291***,0.204***,0.28***,0.216***,0.277***,0.213***,0.274***,0.203***,0.29***,0.211***,0.319***,0.237***,0.316***,0.239***,0.309***,0.241***,0.284***,0.215***,0.267***,0.216***,0.242***,0.209***,0.275***,0.261***,0.309***,0.258***,0.283***
Pedestrian roads,-0.041,-0.061**,-0.004,-0.014,0.027,0.012,0.031,0.002,0.017,-0.008,-0.001,-0.032,-0.021,-0.023,-0.025,-0.025,0.004,-0.036,-0.026,-0.047*,-0.047*,-0.036,-0.04,-0.043*,-0.034,-0.059**,-0.059**,-0.024,-0.042,-0.052**,-0.04,-0.043*,-0.027,-0.058**,-0.025,-0.046*,-0.037,-0.066**,-0.042,-0.064**,-0.06**,-0.065**,-0.081***,-0.101***,-0.085***,-0.079***,-0.072**,-0.091***,-0.028,-0.036,-0.034
Roads diversity,0.084***,0.067**,0.11***,0.072**,0.075***,0.066**,0.066**,0.044,0.098***,0.084***,0.087***,0.092***,0.045*,0.072***,0.016,0.036,0.041*,0.052**,0.05**,0.065***,0.039*,0.057**,0.037,0.059**,0.054**,0.06***,0.034,0.058**,0.03,0.048**,0.048**,0.042*,0.028,0.061**,0.042*,0.043*,0.047*,0.064**,0.052**,0.062**,0.067***,0.079***,0.059**,0.054**,0.074***,0.073***,0.066**,0.067**,0.059**,0.069***,0.062***
Toll Station,-0.084,-0.126*,-0.082,-0.158**,-0.084,-0.061,-0.104,-0.161**,-0.098,-0.143**,-0.088,-0.124*,-0.076,-0.082,-0.094,-0.099,-0.061,-0.087,-0.064,-0.075,-0.062,-0.043,-0.076,-0.062,-0.073,-0.052,-0.068,-0.068,-0.052,-0.059,-0.064,-0.047,-0.073,-0.102*,-0.112*,-0.084,-0.117*,-0.089,-0.093,-0.08,-0.082,-0.037,-0.078,-0.047,-0.08,-0.096,-0.061,-0.117*,-0.08,-0.085,-0.082
Bus Station,0.004,0.057*,0.013,0.073**,0.004,0.059*,0.02,0.089***,0.026,0.08**,0.027,0.052,-0.013,0.038,-0.036,0.007,-0.042,-0.002,-0.043,-0.006,-0.029,0.0,-0.017,0.025,-0.014,0.021,-0.009,0.004,-0.011,0.004,-0.035,0.009,-0.034,0.0,-0.034,0.009,-0.027,0.011,-0.031,0.015,-0.02,0.012,-0.011,0.01,0.003,0.032,-0.003,0.024,-0.011,0.032,0.01
Airport,-0.125,-0.154,-0.314**,-0.092,-0.172,-0.189,-0.137,-0.225,-0.142,-0.303**,0.004,0.046,-0.187*,-0.237**,-0.231**,-0.278**,-0.06,-0.198*,-0.075,-0.226**,-0.136,-0.299**,0.086,-0.107,-0.063,-0.24**,-0.013,-0.258***,0.092,-0.113,-0.028,-0.091,-0.087,-0.104,-0.019,-0.138,-0.065,-0.085,-0.043,-0.067,-0.068,-0.077,-0.143,-0.232**,0.026,-0.059,-0.283**,-0.086,-0.078,-0.141,-0.104
Train Station,0.114,0.13,0.097,0.142,0.104,0.122,0.108,0.134,0.101,0.132,0.152,0.173,0.168,0.179,0.125,0.163,0.103,0.158,0.107,0.158,0.115,0.157,0.126,0.161,0.116,0.162,0.12,0.155,0.113,0.16,0.098,0.141,0.096,0.138,0.087,0.148,0.106,0.155,0.143,0.168,0.16,0.185,0.175,0.192,0.191,0.205,0.17,0.176,0.125,0.158,0.141
Port,0.139,0.215*,0.157,0.033,0.154,0.153,0.185,0.258**,0.025,0.14,0.077,0.109,0.118,0.159,0.111,0.13,0.105,0.118,0.112,0.155,0.147,0.187*,0.199*,0.173*,0.239**,0.218**,0.255**,0.208**,0.207*,0.212**,0.181*,0.208**,0.183*,0.202*,0.183,0.185*,0.175,0.221**,0.202*,0.206*,0.152,0.19*,0.129,0.111,0.145,0.173,0.168,0.12,0.16,0.181*,0.17*
Subway Station,0.305***,0.31***,0.29***,0.32***,0.318***,0.322***,0.333***,0.362***,0.346***,0.378***,0.348***,0.364***,0.364***,0.366***,0.342***,0.327***,0.285***,0.286***,0.235***,0.236***,0.23***,0.204***,0.222***,0.187***,0.233***,0.201***,0.252***,0.196***,0.242***,0.207***,0.244***,0.215***,0.253***,0.224***,0.273***,0.237***,0.298***,0.244***,0.287***,0.231***,0.294***,0.242***,0.289***,0.258***,0.268***,0.248***,0.281***,0.279***,0.283***,0.262***,0.273***
Highway Service,0.036,0.043,0.039,-0.024,0.011,-0.024,0.048,-0.008,-0.036,0.043,-0.026,-0.036,-0.01,-0.001,0.01,-0.007,0.018,-0.011,0.023,0.024,0.033,0.028,0.04,0.035,0.049,0.022,0.031,0.066,0.041,0.02,0.038,0.026,0.021,0.007,0.024,0.002,0.016,0.022,-0.007,-0.019,-0.005,-0.002,0.022,0.006,-0.012,-0.005,0.0,0.015,0.018,0.012,0.015
Observations,2055.0,1986.0,2041.0,1932.0,2013.0,1895.0,2010.0,1879.0,2045.0,1963.0,2096.0,2040.0,2108.0,2086.0,2114.0,2091.0,2108.0,2083.0,2108.0,2076.0,2105.0,2088.0,2112.0,2089.0,2108.0,2080.0,2111.0,2078.0,2112.0,2079.0,2105.0,2082.0,2110.0,2092.0,2113.0,2097.0,2113.0,2096.0,2110.0,2092.0,2104.0,2091.0,2102.0,2072.0,2096.0,2053.0,2088.0,2020.0,2116.0,2112.0,2116.0
R2,0.214,0.194,0.238,0.207,0.244,0.214,0.244,0.239,0.269,0.237,0.244,0.227,0.200,0.223,0.189,0.194,0.189,0.169,0.176,0.147,0.177,0.144,0.177,0.142,0.189,0.148,0.184,0.150,0.181,0.158,0.174,0.150,0.173,0.155,0.197,0.157,0.204,0.165,0.194,0.168,0.190,0.158,0.179,0.155,0.168,0.154,0.179,0.186,0.229,0.227,0.231
MSE,0.037,0.037,0.038,0.038,0.038,0.041,0.039,0.040,0.040,0.043,0.038,0.040,0.038,0.039,0.038,0.038,0.034,0.034,0.031,0.031,0.030,0.029,0.031,0.030,0.030,0.028,0.030,0.029,0.031,0.028,0.031,0.030,0.033,0.032,0.034,0.033,0.034,0.033,0.034,0.035,0.035,0.034,0.034,0.034,0.036,0.037,0.036,0.037,0.030,0.028,0.028
