Attributes,workday|00/00,weekend|00/00,workday|01/00,weekend|01/00,workday|02/00,weekend|02/00,workday|03/00,weekend|03/00,workday|04/00,weekend|04/00,workday|05/00,weekend|05/00,workday|06/00,weekend|06/00,workday|07/00,weekend|07/00,workday|08/00,weekend|08/00,workday|09/00,weekend|09/00,workday|10/00,weekend|10/00,workday|11/00,weekend|11/00,workday|12/00,weekend|12/00,workday|13/00,weekend|13/00,workday|14/00,weekend|14/00,workday|15/00,weekend|15/00,workday|16/00,weekend|16/00,workday|17/00,weekend|17/00,workday|18/00,weekend|18/00,workday|19/00,weekend|19/00,workday|20/00,weekend|20/00,workday|21/00,weekend|21/00,workday|22/00,weekend|22/00,workday|23/00,weekend|23/00,workday_psm,weekend_psm,entire_psm
Motorway,0.323***,0.339***,0.307***,0.348***,0.328***,0.354***,0.337***,0.368***,0.332***,0.37***,0.36***,0.367***,0.347***,0.368***,0.33***,0.339***,0.312***,0.333***,0.296***,0.302***,0.268***,0.279***,0.253***,0.273***,0.25***,0.268***,0.251***,0.272***,0.254***,0.279***,0.267***,0.269***,0.275***,0.286***,0.305***,0.297***,0.324***,0.313***,0.337***,0.333***,0.336***,0.321***,0.345***,0.342***,0.341***,0.352***,0.317***,0.342***,0.306***,0.319***,0.313***
Primary roads,0.071**,0.048,0.08**,0.058*,0.07**,0.042,0.077**,0.06*,0.074**,0.069*,0.081**,0.072**,0.092**,0.079**,0.095***,0.072**,0.085***,0.069**,0.084***,0.064**,0.061**,0.063**,0.043,0.048*,0.047,0.05*,0.046,0.05*,0.051*,0.061**,0.053*,0.044,0.059*,0.061**,0.078**,0.064**,0.085**,0.066**,0.08**,0.067**,0.069**,0.051*,0.069**,0.056*,0.089***,0.063*,0.057*,0.067**,0.069**,0.058**,0.063**
Secondary roads,0.037*,0.007,0.049**,0.032,0.06**,0.038,0.038,0.026,0.043*,0.037,0.057**,0.029,0.05**,0.04*,0.047**,0.035,0.04*,0.016,0.037*,0.005,0.029,0.012,0.023,0.01,0.036*,0.013,0.024,0.008,0.032,0.018,0.037*,0.011,0.035,0.006,0.039*,0.023,0.04*,0.023,0.038*,0.023,0.034,0.009,0.025,0.016,0.038*,0.015,0.026,0.021,0.037*,0.017,0.027
Tertiary roads,0.206***,0.153***,0.228***,0.161***,0.241***,0.21***,0.26***,0.209***,0.281***,0.235***,0.283***,0.26***,0.242***,0.228***,0.213***,0.193***,0.195***,0.136***,0.189***,0.1***,0.191***,0.097***,0.188***,0.097***,0.192***,0.096***,0.176***,0.082***,0.183***,0.093***,0.193***,0.096***,0.2***,0.125***,0.218***,0.139***,0.217***,0.152***,0.192***,0.131***,0.183***,0.115***,0.186***,0.108***,0.185***,0.143***,0.186***,0.158***,0.211***,0.148***,0.18***
Pedestrian roads,-0.007,-0.03,0.002,-0.032,0.009,-0.026,0.003,-0.04,0.027,0.025,0.036,0.019,-0.001,0.009,-0.042,-0.005,-0.032,-0.054**,-0.046*,-0.07***,-0.03,-0.078***,-0.026,-0.079***,-0.016,-0.066***,-0.022,-0.064***,-0.019,-0.078***,-0.029,-0.053**,-0.032,-0.061***,-0.045*,-0.06**,-0.027,-0.07***,-0.044*,-0.082***,-0.058**,-0.074***,-0.066**,-0.068***,-0.054**,-0.085***,-0.04,-0.052**,-0.016,-0.041*,-0.028
Roads diversity,0.178***,0.198***,0.164***,0.186***,0.153***,0.22***,0.182***,0.183***,0.203***,0.215***,0.192***,0.211***,0.153***,0.169***,0.15***,0.172***,0.156***,0.164***,0.123***,0.168***,0.122***,0.139***,0.151***,0.154***,0.145***,0.148***,0.145***,0.167***,0.125***,0.127***,0.118***,0.16***,0.136***,0.144***,0.143***,0.169***,0.167***,0.181***,0.159***,0.146***,0.165***,0.188***,0.172***,0.194***,0.167***,0.188***,0.171***,0.181***,0.17***,0.2***,0.185***
Toll Station,-0.076,-0.043,-0.095,-0.072,-0.11*,-0.054,-0.13*,-0.085,-0.151**,-0.125*,-0.147**,-0.099,-0.099,-0.064,-0.055,-0.029,-0.035,-0.005,-0.037,0.023,-0.05,0.013,-0.056,0.013,-0.046,0.026,-0.033,0.023,-0.041,0.015,-0.026,0.016,-0.032,0.003,-0.057,-0.012,-0.072,-0.02,-0.056,-0.004,-0.045,0.016,-0.058,-0.002,-0.084,-0.044,-0.08,-0.053,-0.069,-0.023,-0.045
Bus Station,-0.047,-0.037,-0.048*,-0.015,-0.028,-0.025,-0.019,-0.039,-0.019,-0.011,-0.04,-0.021,-0.079**,-0.043,-0.101***,-0.066**,-0.098***,-0.078***,-0.07***,-0.083***,-0.056**,-0.069***,-0.059**,-0.052**,-0.054**,-0.057**,-0.062**,-0.058**,-0.056**,-0.053**,-0.062**,-0.053**,-0.073***,-0.061**,-0.085***,-0.062**,-0.078***,-0.05*,-0.073**,-0.055**,-0.072**,-0.05*,-0.053*,-0.043,-0.049*,-0.035,-0.054*,-0.063**,-0.058**,-0.044*,-0.051*
Airport,-0.026,-0.314***,-0.078,-0.037,-0.061,-0.273**,-0.059,-0.04,-0.213,-0.053,-0.082,-0.209,-0.287**,-0.109,-0.195*,-0.18,-0.257***,-0.103,-0.015,-0.075,0.006,-0.118,-0.07,-0.242**,0.011,-0.138,-0.0,-0.121,-0.016,-0.195**,-0.007,0.015,-0.099,-0.004,-0.114,-0.106,-0.22**,-0.133,0.005,-0.314***,-0.173*,-0.069,-0.086,-0.139,-0.043,-0.303***,-0.02,0.029,-0.084,-0.177**,-0.111
Train Station,0.082,0.105,0.109,0.078,0.093,0.086,0.098,0.103,0.116,0.124,0.103,0.122,0.094,0.104,0.085,0.1,0.09,0.111,0.096,0.099,0.082,0.104,0.073,0.086,0.066,0.098,0.069,0.099,0.067,0.097,0.068,0.084,0.067,0.083,0.068,0.091,0.078,0.09,0.087,0.104,0.094,0.082,0.097,0.093,0.104,0.111,0.106,0.093,0.084,0.094,0.089
Port,0.111,0.156,0.132,0.141,0.098,0.11,0.229*,0.133,0.149,0.114,0.136,0.113,0.072,0.067,0.024,0.113,0.014,0.051,0.058,-0.002,0.102,0.013,0.091,0.055,0.1,-0.006,0.088,-0.011,0.087,0.02,0.076,-0.002,0.071,0.031,0.032,0.033,0.041,0.031,0.023,0.019,0.03,0.004,0.005,-0.009,0.058,-0.003,0.092,-0.013,0.085,0.056,0.071
Subway Station,0.059,0.058,0.07*,0.088**,0.114***,0.107**,0.134***,0.124***,0.106**,0.094**,0.117**,0.11**,0.047,0.09**,-0.006,0.042,-0.007,0.006,0.022,-0.02,0.039,-0.019,0.041,-0.013,0.04,-0.024,0.03,-0.03,0.033,-0.02,0.041,-0.014,0.027,0.003,0.023,-0.0,0.023,0.0,0.012,-0.017,0.012,-0.025,0.013,-0.014,0.016,0.012,0.034,0.037,0.039,0.018,0.028
Highway Service,0.081,0.053,0.077,0.095,0.091,0.076,0.117*,0.069,0.105,0.096,0.11,0.093,0.106,0.092,0.087,0.081,0.075,0.058,0.07,0.057,0.067,0.044,0.069,0.058,0.073,0.051,0.065,0.058,0.068,0.049,0.07,0.057,0.075,0.059,0.084,0.066,0.086,0.064,0.073,0.066,0.078,0.057,0.079,0.061,0.079,0.061,0.079,0.072,0.083,0.068,0.076
Observations,2069.0,2037.0,2047.0,2008.0,2036.0,1983.0,2045.0,1986.0,2077.0,2043.0,2100.0,2073.0,2107.0,2091.0,2108.0,2092.0,2106.0,2095.0,2102.0,2090.0,2106.0,2088.0,2105.0,2084.0,2106.0,2088.0,2103.0,2086.0,2108.0,2087.0,2105.0,2089.0,2108.0,2092.0,2105.0,2095.0,2106.0,2090.0,2102.0,2088.0,2100.0,2087.0,2095.0,2081.0,2093.0,2070.0,2080.0,2043.0,2114.0,2108.0,2114.0
R2,0.217,0.212,0.212,0.217,0.208,0.225,0.216,0.217,0.237,0.238,0.239,0.245,0.189,0.217,0.175,0.205,0.191,0.201,0.177,0.191,0.168,0.167,0.189,0.179,0.184,0.175,0.181,0.196,0.172,0.179,0.164,0.183,0.163,0.175,0.170,0.188,0.204,0.207,0.194,0.194,0.196,0.200,0.207,0.209,0.198,0.207,0.200,0.206,0.219,0.249,0.235
