Attributes,workday|05/00,weekend|05/00,workday|06/00,weekend|06/00,workday|07/00,weekend|07/00,workday|08/00,weekend|08/00,workday|09/00,weekend|09/00,workday|10/00,weekend|10/00,workday|11/00,weekend|11/00,workday|12/00,weekend|12/00,workday|13/00,weekend|13/00,workday|14/00,weekend|14/00,workday|15/00,weekend|15/00,workday|16/00,weekend|16/00,workday|17/00,weekend|17/00,workday|18/00,weekend|18/00,workday|19/00,weekend|19/00,workday|20/00,weekend|20/00,workday|21/00,weekend|21/00,workday|22/00,weekend|22/00,workday_psm,weekend_psm,entire_psm
Motorway,-0.021,-0.027,-0.023,-0.023,-0.01,-0.017,-0.019,-0.009,-0.003,0.002,-0.001,-0.006,0.003,0.005,0.001,0.015,-0.007,-0.001,-0.003,-0.005,0.002,0.004,0.008,0.005,0.002,0.007,0.002,0.004,-0.004,0.002,-0.004,0.007,-0.017,-0.005,-0.009,0.013,-0.006,-0.002,-0.004
Primary roads,-0.066**,-0.071**,-0.069**,-0.074***,-0.057**,-0.053**,-0.057**,-0.046**,-0.048**,-0.042**,-0.044**,-0.021,-0.039**,-0.018,-0.045**,-0.034*,-0.043**,-0.018,-0.036**,-0.027,-0.038*,-0.029,-0.028,-0.026,-0.034,-0.023,-0.048*,-0.03,-0.045*,-0.034,-0.051**,-0.027,-0.05*,-0.039,-0.053*,-0.038,-0.047**,-0.036*,-0.042*
Secondary roads,-0.026,-0.044,-0.023,-0.034,-0.024,-0.017,-0.027,-0.011,-0.026,-0.009,-0.022,-0.007,-0.012,0.001,-0.016,-0.003,-0.02,-0.013,-0.006,-0.007,-0.013,0.0,-0.012,-0.01,-0.018,-0.005,-0.024,-0.011,-0.024,-0.011,-0.018,-0.01,-0.023,-0.013,-0.023,-0.008,-0.02,-0.012,-0.016
Tertiary roads,0.088**,0.087**,0.078**,0.071**,0.07**,0.07**,0.078***,0.058**,0.084***,0.046*,0.087***,0.041**,0.082***,0.047***,0.087***,0.04*,0.083***,0.044**,0.071***,0.044**,0.074***,0.054**,0.071***,0.047**,0.071***,0.054**,0.076***,0.058**,0.08***,0.063**,0.072**,0.055**,0.082***,0.086***,0.1***,0.075**,0.079***,0.058**,0.069***
Pedestrian roads,0.048,0.074**,0.021,0.052*,0.04,0.048*,0.062**,0.046*,0.056**,0.031,0.058**,0.034*,0.057***,0.024,0.057**,0.033,0.054**,0.008,0.049**,0.025,0.041*,0.02,0.035,0.015,0.035,0.028,0.053*,0.032,0.046,0.02,0.046,0.001,0.05*,0.011,0.053,0.033,0.048*,0.03,0.039
Roads diversity,0.189***,0.228***,0.178***,0.19***,0.15***,0.156***,0.142***,0.112***,0.103**,0.069*,0.074*,0.065**,0.055,0.042,0.086**,0.057,0.092**,0.076**,0.066**,0.068**,0.073*,0.053,0.088**,0.072**,0.11***,0.084**,0.128***,0.081**,0.141***,0.114***,0.134***,0.102**,0.169***,0.133***,0.166***,0.112**,0.119***,0.101***,0.11***
Toll Station,0.041,0.086,0.037,0.063,0.045,0.055,0.044,0.049,0.031,0.042,0.04,0.045,0.047,0.032,0.039,0.046,0.036,0.037,0.041,0.041,0.043,0.046,0.036,0.03,0.035,0.04,0.035,0.038,0.026,0.036,0.036,0.039,0.04,0.036,0.055,0.062,0.039,0.046,0.043
Bus Station,0.04,0.035,0.046,0.05,0.047,0.045*,0.043,0.045*,0.036,0.046**,0.038*,0.029,0.031,0.018,0.037,0.044**,0.029,0.029,0.024,0.031,0.033,0.037*,0.032,0.028,0.034,0.025,0.038,0.028,0.034,0.036,0.04,0.033,0.038,0.036,0.045,0.044,0.037,0.036,0.036
Airport,0.014,0.022,0.012,0.012,-0.011,0.006,-0.003,0.005,-0.012,-0.01,-0.009,-0.007,-0.009,-0.01,-0.007,-0.001,-0.008,-0.013,-0.005,-0.016,-0.004,-0.01,-0.012,-0.004,-0.01,-0.006,-0.004,-0.014,-0.009,-0.022,-0.006,-0.022,-0.007,-0.013,-0.002,0.003,-0.005,-0.005,-0.005
Train Station,0.027,0.017,0.029,0.027,0.029,0.03,0.033,0.03,0.032,0.036,0.028,0.035,0.023,0.04,0.026,0.036,0.022,0.036,0.021,0.038,0.03,0.032,0.033,0.036,0.033,0.039,0.038,0.033,0.037,0.03,0.036,0.039,0.028,0.037,0.034,0.037,0.03,0.034,0.032
Port,0.113,0.145,0.109,0.12,0.111,0.115,0.105,0.099,0.089,0.072,0.068,0.053,0.056,0.052,0.064,0.057,0.052,0.048,0.05,0.059,0.058,0.051,0.065,0.066,0.079,0.065,0.089,0.068,0.1,0.076,0.09,0.088,0.098,0.088,0.106,0.084,0.084,0.078,0.081
Subway Station,0.151***,0.199***,0.13***,0.15***,0.124***,0.11***,0.117***,0.107***,0.1***,0.078***,0.079***,0.05**,0.08***,0.046**,0.088***,0.066**,0.086***,0.054**,0.077***,0.063***,0.084***,0.065***,0.079***,0.063**,0.087***,0.063**,0.116***,0.074***,0.107***,0.087***,0.114***,0.083***,0.123***,0.092***,0.135***,0.117***,0.104***,0.087***,0.096***
Highway Service,-0.026,-0.03,-0.007,-0.042,0.002,-0.026,-0.013,-0.023,-0.088,-0.006,-0.055,-0.009,-0.064,-0.007,-0.042,0.007,-0.043,0.005,-0.041,0.028,-0.019,-0.0,-0.036,0.023,-0.043,-0.017,-0.016,-0.013,-0.027,-0.03,-0.047,-0.017,-0.029,-0.023,-0.077,-0.044,-0.037,-0.012,-0.025
Observations,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0
R2,0.157,0.187,0.133,0.178,0.145,0.165,0.162,0.138,0.168,0.102,0.154,0.091,0.147,0.078,0.141,0.086,0.143,0.097,0.142,0.095,0.126,0.093,0.119,0.080,0.120,0.087,0.142,0.113,0.136,0.127,0.139,0.096,0.158,0.112,0.161,0.128,0.150,0.129,0.142
MSE,0.011,0.013,0.011,0.009,0.009,0.007,0.007,0.007,0.006,0.005,0.005,0.003,0.005,0.003,0.006,0.005,0.005,0.003,0.004,0.004,0.005,0.004,0.006,0.005,0.007,0.005,0.008,0.005,0.008,0.006,0.008,0.006,0.009,0.009,0.011,0.009,0.007,0.005,0.006
