Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
0.0,0.5976,0.724,0.8016,"[118901.0, 121468.0, 112593.0, 117542.0]","[184235.0, 213384.0, 243286.0, 260025.0]","[365342.0, 385428.0, 375623.0, 355498.0]","[1434.47, 1619.05, 2187.7, 2700.43]"
0.2,0.6003,0.722,0.8021,"[120768.0, 123213.0, 114147.0, 119033.0]","[173350.0, 201917.0, 231510.0, 248731.0]","[374360.0, 395150.0, 385846.0, 365301.0]","[1439.67, 1628.41, 2215.88, 2743.85]"
0.4,0.6027,0.7197,0.8026,"[122581.0, 124917.0, 115672.0, 120496.0]","[163198.0, 191106.0, 220276.0, 237855.0]","[382699.0, 404257.0, 395555.0, 374714.0]","[1443.42, 1635.07, 2239.25, 2779.1]"
0.6,0.605,0.7171,0.8029,"[124338.0, 126579.0, 117167.0, 121929.0]","[153740.0, 180929.0, 209578.0, 227404.0]","[390399.0, 412772.0, 404759.0, 383731.0]","[1446.24, 1639.83, 2258.91, 2807.57]"
0.8,0.6071,0.7144,0.8031,"[126040.0, 128198.0, 118631.0, 123334.0]","[144936.0, 171360.0, 199405.0, 217381.0]","[397502.0, 420722.0, 413467.0, 392350.0]","[1448.44, 1643.3, 2275.52, 2830.53]"
1.0,0.609,0.7114,0.8033,"[127684.0, 129773.0, 120065.0, 124709.0]","[136744.0, 162371.0, 189744.0, 207783.0]","[404050.0, 428136.0, 421694.0, 400573.0]","[1450.21, 1645.98, 2289.82, 2849.08]"
1.2,0.6107,0.7082,0.8034,"[129272.0, 131303.0, 121467.0, 126053.0]","[129122.0, 153931.0, 180579.0, 198607.0]","[410084.0, 435045.0, 429457.0, 408405.0]","[1451.65, 1648.08, 2302.38, 2863.92]"
1.4,0.6123,0.7049,0.8034,"[130804.0, 132789.0, 122838.0, 127368.0]","[122031.0, 146011.0, 171890.0, 189845.0]","[415643.0, 441480.0, 436775.0, 415853.0]","[1452.78, 1649.74, 2313.58, 2875.93]"
1.6,0.6138,0.7015,0.8034,"[132280.0, 134230.0, 124178.0, 128651.0]","[115432.0, 138581.0, 163658.0, 181488.0]","[420766.0, 447469.0, 443667.0, 422926.0]","[1453.71, 1651.09, 2323.7, 2885.58]"
1.8,0.6151,0.6979,0.8033,"[133701.0, 135627.0, 125485.0, 129904.0]","[109289.0, 131610.0, 155863.0, 173525.0]","[425488.0, 453043.0, 450154.0, 429636.0]","[1454.46, 1652.22, 2332.89, 2893.36]"
2.0,0.6163,0.6943,0.8032,"[135068.0, 136979.0, 126762.0, 131127.0]","[103568.0, 125071.0, 148485.0, 165944.0]","[429842.0, 458230.0, 456256.0, 435994.0]","[1455.07, 1653.17, 2341.29, 2899.73]"
2.2,0.6174,0.6905,0.8031,"[136382.0, 138288.0, 128007.0, 132319.0]","[98237.0, 118936.0, 141503.0, 158733.0]","[433859.0, 463056.0, 461994.0, 442013.0]","[1455.57, 1653.99, 2348.96, 2904.86]"
2.4,0.6184,0.6867,0.803,"[137645.0, 139554.0, 129220.0, 133481.0]","[93267.0, 113178.0, 134897.0, 151876.0]","[437566.0, 467548.0, 467386.0, 447708.0]","[1455.97, 1654.7, 2356.06, 2909.1]"
2.6,0.6193,0.6828,0.8028,"[138859.0, 140777.0, 130404.0, 134613.0]","[88628.0, 107774.0, 128647.0, 145361.0]","[440991.0, 471729.0, 472453.0, 453091.0]","[1456.29, 1655.3, 2362.64, 2912.59]"
2.8,0.6201,0.6789,0.8027,"[140024.0, 141958.0, 131556.0, 135716.0]","[84297.0, 102700.0, 122734.0, 139172.0]","[444157.0, 475622.0, 477213.0, 458177.0]","[1456.52, 1655.85, 2368.71, 2915.51]"
3.0,0.6208,0.6749,0.8025,"[141142.0, 143099.0, 132679.0, 136789.0]","[80250.0, 97933.0, 117140.0, 133296.0]","[447086.0, 479248.0, 481684.0, 462980.0]","[1456.52, 1656.33, 2374.26, 2917.95]"
3.2,0.6215,0.671,0.8024,"[142216.0, 144201.0, 133772.0, 137834.0]","[76465.0, 93453.0, 111848.0, 127717.0]","[449797.0, 482626.0, 485883.0, 467514.0]","[1456.52, 1656.75, 2379.44, 2920.0]"
3.4,0.6221,0.667,0.8022,"[143246.0, 145264.0, 134837.0, 138850.0]","[72922.0, 89242.0, 106840.0, 122423.0]","[452310.0, 485775.0, 489827.0, 471792.0]","[1456.52, 1657.13, 2384.26, 2921.75]"
3.6,0.6226,0.663,0.802,"[144234.0, 146289.0, 135872.0, 139839.0]","[69603.0, 85280.0, 102100.0, 117398.0]","[454641.0, 488711.0, 493531.0, 475829.0]","[1456.52, 1657.46, 2388.71, 2923.28]"
3.8,0.623,0.6591,0.8019,"[145183.0, 147278.0, 136879.0, 140800.0]","[66491.0, 81551.0, 97614.0, 112629.0]","[456804.0, 491452.0, 497009.0, 479637.0]","[1456.52, 1657.75, 2392.87, 2924.61]"
4.0,0.6235,0.6551,0.8017,"[146093.0, 148231.0, 137859.0, 141734.0]","[63571.0, 78039.0, 93368.0, 108103.0]","[458815.0, 494010.0, 500277.0, 483228.0]","[1456.52, 1657.99, 2396.73, 2925.79]"
4.2,0.6238,0.6512,0.8015,"[146965.0, 149150.0, 138811.0, 142643.0]","[60828.0, 74730.0, 89346.0, 103807.0]","[460684.0, 496400.0, 503345.0, 486616.0]","[1456.52, 1658.22, 2400.35, 2926.85]"
4.4,0.6241,0.6473,0.8014,"[147803.0, 150036.0, 139737.0, 143526.0]","[58250.0, 71610.0, 85538.0, 99729.0]","[462425.0, 498634.0, 506228.0, 489811.0]","[1456.52, 1658.39, 2403.75, 2927.82]"
4.6,0.6244,0.6434,0.8012,"[148607.0, 150890.0, 140636.0, 144383.0]","[55824.0, 68666.0, 81930.0, 95857.0]","[464047.0, 500723.0, 508937.0, 492824.0]","[1456.52, 1658.39, 2406.91, 2928.69]"
4.8,0.6247,0.6395,0.8011,"[149378.0, 151713.0, 141509.0, 145217.0]","[53540.0, 65888.0, 78512.0, 92180.0]","[465560.0, 502679.0, 511482.0, 495668.0]","[1456.52, 1658.39, 2409.85, 2929.49]"
5.0,0.6249,0.6357,0.8009,"[150118.0, 152507.0, 142357.0, 146027.0]","[51387.0, 63263.0, 75272.0, 88688.0]","[466973.0, 504511.0, 513874.0, 498351.0]","[1456.52, 1658.39, 2412.58, 2930.22]"
