Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
0.0,0.5976,0.724,0.8016,"[118901.0, 121468.0, 112593.0, 117542.0]","[184235.0, 213384.0, 243286.0, 260025.0]","[365342.0, 385428.0, 375623.0, 355498.0]","[1434.47, 1619.05, 2187.7, 2700.43]"
0.2,0.5993,0.7217,0.8019,"[119153.0, 122049.0, 113509.0, 118819.0]","[180027.0, 207212.0, 234959.0, 249878.0]","[369298.0, 391019.0, 383035.0, 364368.0]","[1434.88, 1619.91, 2198.29, 2732.89]"
0.4,0.6008,0.7192,0.8021,"[119391.0, 122611.0, 114404.0, 120070.0]","[176223.0, 201468.0, 227063.0, 240125.0]","[372864.0, 396201.0, 390036.0, 372870.0]","[1435.17, 1620.5, 2206.92, 2758.32]"
0.6,0.6023,0.7166,0.8023,"[119615.0, 123155.0, 115277.0, 121294.0]","[172793.0, 196132.0, 219589.0, 230771.0]","[376070.0, 400994.0, 396638.0, 381000.0]","[1435.37, 1620.91, 2214.18, 2778.13]"
0.8,0.6037,0.714,0.8024,"[119827.0, 123679.0, 116127.0, 122491.0]","[169704.0, 191181.0, 212524.0, 221817.0]","[378947.0, 405420.0, 402852.0, 388757.0]","[1435.51, 1621.2, 2220.31, 2793.55]"
1.0,0.605,0.7113,0.8024,"[120025.0, 124184.0, 116955.0, 123661.0]","[166927.0, 186592.0, 205854.0, 213258.0]","[381526.0, 409504.0, 408694.0, 396145.0]","[1435.63, 1621.42, 2225.66, 2805.61]"
1.2,0.6062,0.7086,0.8024,"[120211.0, 124670.0, 117761.0, 124804.0]","[164431.0, 182342.0, 199562.0, 205091.0]","[383835.0, 413268.0, 414180.0, 403170.0]","[1435.7, 1621.6, 2230.44, 2814.89]"
1.4,0.6073,0.7059,0.8023,"[120385.0, 125137.0, 118545.0, 125919.0]","[162191.0, 178408.0, 193631.0, 197305.0]","[385902.0, 416735.0, 419327.0, 409841.0]","[1435.75, 1621.73, 2234.83, 2822.11]"
1.6,0.6084,0.7032,0.8022,"[120547.0, 125586.0, 119307.0, 127007.0]","[160180.0, 174767.0, 188044.0, 189892.0]","[387751.0, 419927.0, 424152.0, 416166.0]","[1435.78, 1621.83, 2238.89, 2827.65]"
1.8,0.6093,0.7006,0.8021,"[120698.0, 126017.0, 120046.0, 128067.0]","[158376.0, 171398.0, 182784.0, 182840.0]","[389404.0, 422866.0, 428673.0, 422158.0]","[1435.79, 1621.92, 2242.67, 2831.94]"
2.0,0.6102,0.698,0.802,"[120838.0, 126429.0, 120765.0, 129100.0]","[156757.0, 168280.0, 177832.0, 176136.0]","[390883.0, 425571.0, 432907.0, 427829.0]","[1435.8, 1621.99, 2246.21, 2835.33]"
2.2,0.611,0.6955,0.8018,"[120968.0, 126824.0, 121461.0, 130106.0]","[155305.0, 165396.0, 173172.0, 169769.0]","[392205.0, 428060.0, 436870.0, 433190.0]","[1435.8, 1622.05, 2249.51, 2837.92]"
2.4,0.6117,0.6932,0.8016,"[121089.0, 127202.0, 122137.0, 131085.0]","[154001.0, 162727.0, 168787.0, 163724.0]","[393388.0, 430351.0, 440579.0, 438256.0]","[1435.8, 1622.1, 2252.58, 2840.04]"
2.6,0.6124,0.6909,0.8015,"[121201.0, 127564.0, 122793.0, 132038.0]","[152830.0, 160255.0, 164660.0, 157988.0]","[394447.0, 432460.0, 444050.0, 443039.0]","[1435.8, 1622.13, 2255.45, 2841.76]"
2.8,0.613,0.6887,0.8013,"[121305.0, 127910.0, 123428.0, 132965.0]","[151778.0, 157967.0, 160778.0, 152547.0]","[395394.0, 434403.0, 447297.0, 447553.0]","[1435.8, 1622.16, 2258.06, 2843.18]"
3.0,0.6136,0.6866,0.8011,"[121402.0, 128241.0, 124044.0, 133866.0]","[150833.0, 155847.0, 157124.0, 147387.0]","[396243.0, 436192.0, 450335.0, 451812.0]","[1435.8, 1622.19, 2260.43, 2844.36]"
3.2,0.6141,0.6847,0.8009,"[121491.0, 128557.0, 124640.0, 134742.0]","[149984.0, 153882.0, 153686.0, 142495.0]","[397004.0, 437841.0, 453177.0, 455828.0]","[1435.8, 1622.21, 2262.61, 2845.36]"
3.4,0.6146,0.6828,0.8007,"[121573.0, 128859.0, 125218.0, 135594.0]","[149219.0, 152060.0, 150449.0, 137858.0]","[397685.0, 439360.0, 455836.0, 459614.0]","[1435.8, 1622.22, 2264.62, 2846.22]"
3.6,0.615,0.6811,0.8005,"[121650.0, 129148.0, 125777.0, 136421.0]","[148531.0, 150370.0, 147402.0, 133462.0]","[398297.0, 440762.0, 458324.0, 463182.0]","[1435.8, 1622.24, 2266.45, 2846.98]"
3.8,0.6154,0.6795,0.8003,"[121721.0, 129423.0, 126318.0, 137225.0]","[147911.0, 148801.0, 144533.0, 129294.0]","[398846.0, 442056.0, 460652.0, 466546.0]","[1435.8, 1622.25, 2268.13, 2847.66]"
4.0,0.6157,0.678,0.8002,"[121787.0, 129686.0, 126842.0, 138005.0]","[147351.0, 147343.0, 141830.0, 125344.0]","[399340.0, 443250.0, 462831.0, 469716.0]","[1435.8, 1622.26, 2269.69, 2848.26]"
4.2,0.6161,0.6766,0.8,"[121848.0, 129938.0, 127349.0, 138764.0]","[146847.0, 145989.0, 139284.0, 121598.0]","[399783.0, 444354.0, 464870.0, 472704.0]","[1435.8, 1622.27, 2271.13, 2848.81]"
4.4,0.6163,0.6752,0.7998,"[121904.0, 130178.0, 127839.0, 139500.0]","[146391.0, 144729.0, 136885.0, 118046.0]","[400183.0, 445374.0, 466778.0, 475520.0]","[1435.8, 1622.28, 2272.47, 2849.31]"
4.6,0.6166,0.674,0.7997,"[121956.0, 130407.0, 128314.0, 140214.0]","[145980.0, 143556.0, 134624.0, 114676.0]","[400542.0, 446317.0, 468566.0, 478174.0]","[1435.8, 1622.28, 2273.67, 2849.78]"
4.8,0.6168,0.6729,0.7995,"[122005.0, 130626.0, 128772.0, 140908.0]","[145607.0, 142464.0, 132491.0, 111480.0]","[400866.0, 447190.0, 470240.0, 480677.0]","[1435.8, 1622.28, 2274.74, 2850.2]"
5.0,0.617,0.6718,0.7994,"[122050.0, 130835.0, 129216.0, 141582.0]","[145270.0, 141445.0, 130480.0, 108446.0]","[401158.0, 447999.0, 471808.0, 483037.0]","[1435.8, 1622.28, 2275.72, 2850.6]"
5.2,0.6172,0.6709,0.7992,"[122091.0, 131035.0, 129644.0, 142236.0]","[144965.0, 140496.0, 128582.0, 105566.0]","[401422.0, 448749.0, 473277.0, 485263.0]","[1435.8, 1622.28, 2276.57, 2850.97]"
5.4,0.6174,0.67,0.7991,"[122130.0, 131226.0, 130058.0, 142871.0]","[144688.0, 139609.0, 126791.0, 102830.0]","[401660.0, 449444.0, 474654.0, 487364.0]","[1435.8, 1622.28, 2277.32, 2851.32]"
5.6,0.6175,0.6691,0.799,"[122166.0, 131409.0, 130458.0, 143487.0]","[144436.0, 138781.0, 125100.0, 100232.0]","[401876.0, 450090.0, 475945.0, 489346.0]","[1435.8, 1622.28, 2277.96, 2851.64]"
5.8,0.6177,0.6683,0.7988,"[122200.0, 131584.0, 130844.0, 144085.0]","[144208.0, 138007.0, 123503.0, 97762.0]","[402071.0, 450689.0, 477156.0, 491218.0]","[1435.8, 1622.28, 2278.52, 2851.95]"
6.0,0.6178,0.6676,0.7987,"[122231.0, 131750.0, 131218.0, 144666.0]","[144000.0, 137283.0, 121993.0, 95414.0]","[402247.0, 451246.0, 478292.0, 492985.0]","[1435.8, 1622.28, 2279.01, 2852.24]"
6.2,0.6179,0.667,0.7986,"[122260.0, 131910.0, 131578.0, 145230.0]","[143811.0, 136605.0, 120567.0, 93180.0]","[402407.0, 451765.0, 479358.0, 494656.0]","[1435.8, 1622.28, 2279.4, 2852.51]"
6.4,0.618,0.6664,0.7985,"[122287.0, 132063.0, 131926.0, 145777.0]","[143639.0, 135970.0, 119218.0, 91053.0]","[402552.0, 452247.0, 480359.0, 496234.0]","[1435.8, 1622.28, 2279.72, 2852.75]"
6.6,0.6181,0.6658,0.7984,"[122312.0, 132209.0, 132262.0, 146309.0]","[143482.0, 135374.0, 117942.0, 89029.0]","[402684.0, 452697.0, 481300.0, 497727.0]","[1435.8, 1622.28, 2280.01, 2852.98]"
6.8,0.6182,0.6653,0.7983,"[122335.0, 132349.0, 132586.0, 146825.0]","[143339.0, 134815.0, 116734.0, 87101.0]","[402804.0, 453116.0, 482183.0, 499139.0]","[1435.8, 1622.28, 2280.24, 2853.19]"
7.0,0.6183,0.6648,0.7982,"[122357.0, 132483.0, 132899.0, 147326.0]","[143208.0, 134290.0, 115590.0, 85263.0]","[402913.0, 453507.0, 483014.0, 500476.0]","[1435.8, 1622.28, 2280.42, 2853.38]"
7.2,0.6183,0.6644,0.7981,"[122378.0, 132611.0, 133201.0, 147813.0]","[143088.0, 133796.0, 114507.0, 83510.0]","[403012.0, 453872.0, 483796.0, 501742.0]","[1435.8, 1622.28, 2280.5, 2853.56]"
7.4,0.6184,0.664,0.7981,"[122397.0, 132734.0, 133492.0, 148286.0]","[142978.0, 133332.0, 113480.0, 81838.0]","[403103.0, 454214.0, 484531.0, 502941.0]","[1435.8, 1622.28, 2280.5, 2853.72]"
7.6,0.6184,0.6637,0.798,"[122415.0, 132852.0, 133773.0, 148745.0]","[142878.0, 132895.0, 112506.0, 80243.0]","[403185.0, 454533.0, 485224.0, 504077.0]","[1435.8, 1622.28, 2280.5, 2853.88]"
7.8,0.6185,0.6633,0.7979,"[122431.0, 132965.0, 134045.0, 149191.0]","[142786.0, 132483.0, 111582.0, 78719.0]","[403261.0, 454831.0, 485876.0, 505155.0]","[1435.8, 1622.28, 2280.5, 2854.03]"
8.0,0.6185,0.663,0.7979,"[122447.0, 133074.0, 134307.0, 149625.0]","[142702.0, 132095.0, 110705.0, 77263.0]","[403329.0, 455111.0, 486491.0, 506178.0]","[1435.8, 1622.28, 2280.5, 2854.17]"
8.2,0.6186,0.6627,0.7978,"[122462.0, 133178.0, 134560.0, 150046.0]","[142624.0, 131729.0, 109872.0, 75871.0]","[403392.0, 455373.0, 487072.0, 507149.0]","[1435.8, 1622.28, 2280.5, 2854.3]"
8.4,0.6186,0.6625,0.7977,"[122475.0, 133278.0, 134804.0, 150455.0]","[142553.0, 131383.0, 109080.0, 74539.0]","[403450.0, 455619.0, 487619.0, 508071.0]","[1435.8, 1622.28, 2280.5, 2854.42]"
8.6,0.6186,0.6623,0.7977,"[122488.0, 133373.0, 135040.0, 150853.0]","[142487.0, 131056.0, 108327.0, 73265.0]","[403502.0, 455850.0, 488136.0, 508947.0]","[1435.8, 1622.28, 2280.5, 2854.54]"
8.8,0.6187,0.6621,0.7976,"[122500.0, 133465.0, 135267.0, 151240.0]","[142427.0, 130747.0, 107610.0, 72046.0]","[403551.0, 456067.0, 488625.0, 509779.0]","[1435.8, 1622.28, 2280.5, 2854.65]"
9.0,0.6187,0.6619,0.7976,"[122512.0, 133554.0, 135487.0, 151616.0]","[142371.0, 130455.0, 106928.0, 70877.0]","[403595.0, 456271.0, 489087.0, 510572.0]","[1435.8, 1622.28, 2280.5, 2854.75]"
9.2,0.6187,0.6617,0.7975,"[122522.0, 133639.0, 135700.0, 151982.0]","[142320.0, 130178.0, 106279.0, 69757.0]","[403636.0, 456463.0, 489525.0, 511326.0]","[1435.8, 1622.28, 2280.5, 2854.85]"
9.4,0.6187,0.6616,0.7975,"[122532.0, 133721.0, 135905.0, 152337.0]","[142272.0, 129915.0, 105659.0, 68684.0]","[403673.0, 456644.0, 489939.0, 512044.0]","[1435.8, 1622.28, 2280.5, 2854.94]"
9.6,0.6188,0.6614,0.7975,"[122542.0, 133799.0, 136104.0, 152683.0]","[142228.0, 129666.0, 105068.0, 67654.0]","[403708.0, 456815.0, 490331.0, 512728.0]","[1435.8, 1622.28, 2280.5, 2855.03]"
9.8,0.6188,0.6613,0.7974,"[122551.0, 133875.0, 136295.0, 153020.0]","[142188.0, 129430.0, 104505.0, 66665.0]","[403739.0, 456975.0, 490703.0, 513380.0]","[1435.8, 1622.28, 2280.5, 2855.11]"
10.0,0.6188,0.6612,0.7974,"[122559.0, 133948.0, 136481.0, 153347.0]","[142150.0, 129205.0, 103966.0, 65716.0]","[403769.0, 457127.0, 491056.0, 514002.0]","[1435.8, 1622.28, 2280.5, 2855.19]"
10.2,0.6188,0.6611,0.7974,"[122567.0, 134018.0, 136660.0, 153666.0]","[142115.0, 128992.0, 103452.0, 64804.0]","[403796.0, 457270.0, 491391.0, 514595.0]","[1435.8, 1622.28, 2280.5, 2855.26]"
10.4,0.6188,0.6611,0.7973,"[122575.0, 134085.0, 136834.0, 153976.0]","[142083.0, 128789.0, 102960.0, 63927.0]","[403821.0, 457405.0, 491710.0, 515162.0]","[1435.8, 1622.28, 2280.5, 2855.33]"
10.6,0.6188,0.661,0.7973,"[122582.0, 134150.0, 137001.0, 154277.0]","[142053.0, 128596.0, 102489.0, 63085.0]","[403844.0, 457533.0, 492012.0, 515703.0]","[1435.8, 1622.28, 2280.5, 2855.4]"
10.8,0.6188,0.661,0.7973,"[122589.0, 134213.0, 137164.0, 154571.0]","[142025.0, 128412.0, 102039.0, 62274.0]","[403865.0, 457655.0, 492300.0, 516221.0]","[1435.8, 1622.28, 2280.5, 2855.46]"
11.0,0.6188,0.6609,0.7972,"[122595.0, 134274.0, 137321.0, 154857.0]","[141999.0, 128237.0, 101607.0, 61493.0]","[403884.0, 457769.0, 492574.0, 516715.0]","[1435.8, 1622.28, 2280.5, 2855.52]"
11.2,0.6189,0.6609,0.7972,"[122601.0, 134332.0, 137474.0, 155135.0]","[141974.0, 128070.0, 101194.0, 60742.0]","[403903.0, 457878.0, 492836.0, 517189.0]","[1435.8, 1622.28, 2280.5, 2855.58]"
11.4,0.6189,0.6609,0.7972,"[122607.0, 134388.0, 137621.0, 155406.0]","[141952.0, 127911.0, 100797.0, 60018.0]","[403920.0, 457981.0, 493085.0, 517642.0]","[1435.8, 1622.28, 2280.5, 2855.63]"
11.6,0.6189,0.6609,0.7972,"[122612.0, 134442.0, 137764.0, 155670.0]","[141931.0, 127758.0, 100417.0, 59320.0]","[403935.0, 458079.0, 493322.0, 518076.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
11.8,0.6189,0.6609,0.7971,"[122617.0, 134495.0, 137903.0, 155927.0]","[141911.0, 127613.0, 100052.0, 58647.0]","[403950.0, 458172.0, 493549.0, 518491.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
12.0,0.6189,0.6609,0.7971,"[122622.0, 134545.0, 138037.0, 156177.0]","[141892.0, 127474.0, 99701.0, 57998.0]","[403963.0, 458261.0, 493765.0, 518890.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
12.2,0.6189,0.6609,0.7971,"[122627.0, 134594.0, 138167.0, 156421.0]","[141875.0, 127341.0, 99363.0, 57372.0]","[403976.0, 458345.0, 493972.0, 519272.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
12.4,0.6189,0.6609,0.7971,"[122631.0, 134641.0, 138294.0, 156658.0]","[141859.0, 127214.0, 99039.0, 56767.0]","[403988.0, 458425.0, 494170.0, 519639.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
12.6,0.6189,0.661,0.7971,"[122635.0, 134687.0, 138416.0, 156890.0]","[141844.0, 127092.0, 98727.0, 56184.0]","[403999.0, 458501.0, 494360.0, 519992.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
12.8,0.6189,0.661,0.797,"[122640.0, 134731.0, 138535.0, 157115.0]","[141830.0, 126975.0, 98427.0, 55619.0]","[404009.0, 458574.0, 494541.0, 520330.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
13.0,0.6188,0.6611,0.797,"[122643.0, 134774.0, 138651.0, 157335.0]","[141816.0, 126863.0, 98137.0, 55074.0]","[404018.0, 458643.0, 494715.0, 520656.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
13.2,0.6188,0.6611,0.797,"[122647.0, 134815.0, 138763.0, 157549.0]","[141804.0, 126755.0, 97858.0, 54547.0]","[404027.0, 458709.0, 494881.0, 520969.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
13.4,0.6188,0.6612,0.797,"[122650.0, 134855.0, 138872.0, 157758.0]","[141792.0, 126652.0, 97590.0, 54037.0]","[404035.0, 458772.0, 495041.0, 521270.0]","[1435.8, 1622.28, 2280.5, 2855.66]"
