Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
0.0,0.5976,0.724,0.8016,"[118901.0, 121468.0, 112593.0, 117542.0]","[184235.0, 213384.0, 243286.0, 260025.0]","[365342.0, 385428.0, 375623.0, 355498.0]","[1434.47, 1619.05, 2187.7, 2700.43]"
0.02,0.5986,0.7246,0.8017,"[122530.0, 123978.0, 114164.0, 118651.0]","[182891.0, 212362.0, 242576.0, 259521.0]","[363057.0, 383940.0, 374764.0, 354893.0]","[1428.17, 1615.33, 2185.76, 2698.77]"
0.04,0.5996,0.7251,0.8019,"[126483.0, 126651.0, 115796.0, 119779.0]","[181448.0, 211281.0, 241837.0, 259009.0]","[360546.0, 382348.0, 373870.0, 354278.0]","[1421.3, 1611.15, 2183.66, 2697.06]"
0.06,0.6006,0.7257,0.802,"[130803.0, 129505.0, 117494.0, 120926.0]","[179897.0, 210137.0, 241069.0, 258487.0]","[357778.0, 380638.0, 372940.0, 353651.0]","[1413.84, 1606.47, 2181.36, 2695.28]"
0.08,0.6016,0.7264,0.8022,"[135536.0, 132560.0, 119266.0, 122095.0]","[178226.0, 208922.0, 240268.0, 257956.0]","[354716.0, 378797.0, 371969.0, 353013.0]","[1405.73, 1601.25, 2178.83, 2693.44]"
0.1,0.6026,0.7271,0.8023,"[140734.0, 135840.0, 121118.0, 123286.0]","[176423.0, 207631.0, 239431.0, 257415.0]","[351321.0, 376809.0, 370955.0, 352364.0]","[1396.97, 1595.47, 2176.09, 2691.51]"
0.12,0.6036,0.7278,0.8024,"[146455.0, 139369.0, 123057.0, 124499.0]","[174477.0, 206254.0, 238554.0, 256864.0]","[347546.0, 374657.0, 369892.0, 351702.0]","[1387.47, 1589.08, 2173.07, 2689.48]"
0.14,0.6045,0.7286,0.8026,"[152765.0, 143176.0, 125092.0, 125736.0]","[172374.0, 204785.0, 237635.0, 256301.0]","[343338.0, 372318.0, 368776.0, 351027.0]","[1377.12, 1582.09, 2169.74, 2687.34]"
0.16,0.6054,0.7294,0.8027,"[159737.0, 147293.0, 127232.0, 126999.0]","[170101.0, 203215.0, 236669.0, 255727.0]","[338639.0, 369772.0, 367602.0, 350339.0]","[1365.79, 1574.46, 2166.05, 2685.1]"
0.18,0.6062,0.7303,0.8027,"[167450.0, 151756.0, 129489.0, 128288.0]","[167646.0, 201533.0, 235652.0, 255140.0]","[333383.0, 366991.0, 366362.0, 349637.0]","[1353.37, 1566.14, 2161.99, 2682.75]"
0.2,0.6069,0.7313,0.8027,"[175988.0, 156604.0, 131874.0, 129605.0]","[164994.0, 199730.0, 234578.0, 254541.0]","[327496.0, 363946.0, 365052.0, 348919.0]","[1339.6, 1557.13, 2157.54, 2680.25]"
0.22,0.6076,0.7323,0.8027,"[185440.0, 161882.0, 134400.0, 130952.0]","[162136.0, 197794.0, 233442.0, 253927.0]","[320903.0, 360604.0, 363661.0, 348186.0]","[1324.52, 1547.43, 2152.69, 2677.6]"
0.24,0.6081,0.7334,0.8025,"[195896.0, 167640.0, 137082.0, 132330.0]","[159062.0, 195714.0, 232238.0, 253299.0]","[313520.0, 356927.0, 362183.0, 347436.0]","[1305.2, 1537.01, 2147.41, 2674.76]"
0.26,0.6085,0.7345,0.8023,"[207438.0, 173930.0, 139937.0, 133742.0]","[155768.0, 193478.0, 230960.0, 252655.0]","[305271.0, 352872.0, 360606.0, 346668.0]","[1279.12, 1525.82, 2141.64, 2671.75]"
0.28,0.6088,0.7356,0.8018,"[220135.0, 180812.0, 142984.0, 135189.0]","[152256.0, 191073.0, 229599.0, 251995.0]","[296088.0, 348395.0, 358920.0, 345881.0]","[1247.8, 1513.82, 2135.3, 2668.58]"
0.3,0.609,0.7367,0.8011,"[234021.0, 188350.0, 146242.0, 136675.0]","[148532.0, 188489.0, 228149.0, 251316.0]","[285925.0, 343441.0, 357112.0, 345074.0]","[1208.6, 1500.87, 2128.41, 2665.24]"
0.32,0.6092,0.7378,0.8,"[249082.0, 196610.0, 149736.0, 138202.0]","[144615.0, 185713.0, 226599.0, 250618.0]","[274780.0, 337957.0, 355167.0, 344245.0]","[1155.55, 1486.92, 2120.92, 2661.7]"
0.34,0.6094,0.7388,0.7985,"[265225.0, 205662.0, 153492.0, 139772.0]","[140534.0, 182737.0, 224941.0, 249900.0]","[262719.0, 331882.0, 353070.0, 343393.0]","[1074.96, 1471.97, 2112.78, 2657.93]"
0.36,0.6097,0.7397,0.7965,"[282255.0, 215575.0, 157537.0, 141390.0]","[136327.0, 179551.0, 223163.0, 249159.0]","[249896.0, 325154.0, 350803.0, 342516.0]","[941.15, 1455.85, 2104.0, 2653.93]"
0.38,0.6102,0.7405,0.7938,"[299865.0, 226412.0, 161904.0, 143059.0]","[132043.0, 176153.0, 221255.0, 248395.0]","[236569.0, 317715.0, 348344.0, 341612.0]","[725.58, 1431.34, 2094.5, 2649.67]"
0.4,0.611,0.7411,0.7905,"[317659.0, 238226.0, 166628.0, 144783.0]","[127740.0, 172543.0, 219205.0, 247604.0]","[223079.0, 309511.0, 345670.0, 340678.0]","[412.66, 1399.44, 2084.28, 2645.14]"
0.42,0.6121,0.7414,0.7866,"[335209.0, 251049.0, 171747.0, 146566.0]","[123472.0, 168728.0, 216999.0, 246785.0]","[209797.0, 300504.0, 342756.0, 339713.0]","[54.0, 1359.25, 2073.28, 2640.27]"
0.44,0.6135,0.7414,0.7821,"[352133.0, 264877.0, 177305.0, 148415.0]","[119293.0, 164721.0, 214625.0, 245936.0]","[197052.0, 290682.0, 339573.0, 338714.0]","[-305.97, 1305.98, 2061.45, 2635.02]"
0.46,0.6152,0.7411,0.777,"[368151.0, 279660.0, 183346.0, 150335.0]","[115245.0, 160546.0, 212070.0, 245053.0]","[185081.0, 280074.0, 336087.0, 337677.0]","[-665.94, 1231.08, 2048.68, 2629.36]"
0.48,0.6172,0.7405,0.7715,"[383102.0, 295278.0, 189921.0, 152331.0]","[111361.0, 156235.0, 209320.0, 244134.0]","[174016.0, 268767.0, 332262.0, 336599.0]","[-1025.91, 1121.68, 2034.92, 2623.34]"
0.5,0.6194,0.7396,0.7655,"[396919.0, 311536.0, 197081.0, 154412.0]","[107661.0, 151828.0, 206363.0, 243176.0]","[163899.0, 256916.0, 328059.0, 335476.0]","[-1385.88, 962.97, 2020.14, 2616.84]"
0.52,0.6218,0.7384,0.7592,"[409608.0, 328163.0, 204881.0, 156586.0]","[104157.0, 147374.0, 203188.0, 242175.0]","[154713.0, 244744.0, 323435.0, 334304.0]","[-1745.84, 741.95, 2004.24, 2609.82]"
0.54,0.6243,0.7368,0.7524,"[421216.0, 344835.0, 213374.0, 158860.0]","[100855.0, 142922.0, 199786.0, 241127.0]","[146407.0, 232523.0, 318343.0, 333078.0]","[-2105.81, 455.34, 1987.16, 2602.26]"
0.56,0.6268,0.7349,0.7454,"[431815.0, 361224.0, 222613.0, 161246.0]","[97753.0, 138522.0, 196154.0, 240027.0]","[138911.0, 220534.0, 312736.0, 331792.0]","[-2465.78, 141.59, 1968.87, 2594.13]"
0.58,0.6295,0.7327,0.7382,"[441482.0, 377045.0, 232645.0, 163753.0]","[94846.0, 134220.0, 192292.0, 238871.0]","[132150.0, 209015.0, 306566.0, 330441.0]","[-2825.75, -173.06, 1949.44, 2585.35]"
0.6,0.6322,0.7303,0.731,"[450301.0, 392091.0, 243507.0, 166396.0]","[92126.0, 130050.0, 188207.0, 237653.0]","[126051.0, 198139.0, 299789.0, 329017.0]","[-3185.72, -487.71, 1916.22, 2575.91]"
