Beta_delta,Active PSM,Private PSM,Public PSM,Active pop,Private pop,Public pop,Avg travel cost
0.0,0.5976,0.724,0.8016,"[118901.0, 121468.0, 112593.0, 117542.0]","[184235.0, 213384.0, 243286.0, 260025.0]","[365342.0, 385428.0, 375623.0, 355498.0]","[1434.47, 1619.05, 2187.7, 2700.43]"
0.002,0.5977,0.724,0.8016,"[118771.0, 121385.0, 112542.0, 117502.0]","[183897.0, 213094.0, 243015.0, 259800.0]","[365810.0, 385801.0, 375946.0, 355763.0]","[1425.4, 1612.44, 2182.61, 2696.95]"
0.004,0.5977,0.724,0.8016,"[118640.0, 121302.0, 112490.0, 117461.0]","[183559.0, 212803.0, 242744.0, 259575.0]","[366279.0, 386175.0, 376269.0, 356029.0]","[1416.31, 1605.82, 2177.51, 2693.47]"
0.006,0.5978,0.7239,0.8016,"[118509.0, 121218.0, 112438.0, 117421.0]","[183222.0, 212513.0, 242472.0, 259350.0]","[366748.0, 386549.0, 376592.0, 356294.0]","[1407.21, 1599.18, 2172.4, 2689.97]"
0.008,0.5979,0.7239,0.8016,"[118378.0, 121135.0, 112387.0, 117380.0]","[182884.0, 212223.0, 242201.0, 259126.0]","[367216.0, 386922.0, 376915.0, 356559.0]","[1398.08, 1592.54, 2167.29, 2686.47]"
0.01,0.5979,0.7238,0.8016,"[118246.0, 121051.0, 112335.0, 117340.0]","[182547.0, 211933.0, 241930.0, 258901.0]","[367685.0, 387296.0, 377238.0, 356824.0]","[1388.94, 1585.88, 2162.16, 2682.96]"
0.012,0.598,0.7238,0.8016,"[118115.0, 120968.0, 112283.0, 117299.0]","[182210.0, 211643.0, 241658.0, 258676.0]","[368153.0, 387669.0, 377562.0, 357090.0]","[1379.77, 1579.21, 2157.02, 2679.44]"
0.014,0.5981,0.7238,0.8016,"[117984.0, 120884.0, 112231.0, 117258.0]","[181873.0, 211354.0, 241387.0, 258452.0]","[368621.0, 388042.0, 377885.0, 357355.0]","[1370.59, 1572.53, 2151.87, 2675.91]"
0.016,0.5981,0.7237,0.8016,"[117852.0, 120800.0, 112179.0, 117218.0]","[181537.0, 211064.0, 241115.0, 258227.0]","[369089.0, 388416.0, 378208.0, 357620.0]","[1361.38, 1565.84, 2146.71, 2672.37]"
0.018,0.5982,0.7237,0.8016,"[117720.0, 120716.0, 112127.0, 117177.0]","[181200.0, 210775.0, 240844.0, 258002.0]","[369557.0, 388789.0, 378532.0, 357886.0]","[1352.16, 1559.14, 2141.54, 2668.83]"
0.02,0.5982,0.7236,0.8016,"[117588.0, 120632.0, 112075.0, 117136.0]","[180864.0, 210486.0, 240572.0, 257777.0]","[370025.0, 389162.0, 378855.0, 358151.0]","[1342.92, 1552.42, 2136.36, 2665.28]"
0.022,0.5983,0.7236,0.8015,"[117456.0, 120548.0, 112023.0, 117096.0]","[180528.0, 210197.0, 240301.0, 257553.0]","[370493.0, 389535.0, 379179.0, 358416.0]","[1333.66, 1545.7, 2131.18, 2661.72]"
0.024,0.5984,0.7235,0.8015,"[117324.0, 120464.0, 111971.0, 117055.0]","[180193.0, 209908.0, 240029.0, 257328.0]","[370961.0, 389908.0, 379502.0, 358682.0]","[1324.38, 1538.96, 2125.98, 2658.15]"
0.026,0.5984,0.7235,0.8015,"[117192.0, 120380.0, 111919.0, 117014.0]","[179857.0, 209619.0, 239757.0, 257103.0]","[371429.0, 390281.0, 379826.0, 358947.0]","[1315.07, 1532.22, 2120.77, 2654.57]"
0.028,0.5985,0.7234,0.8015,"[117060.0, 120296.0, 111867.0, 116974.0]","[179522.0, 209330.0, 239486.0, 256879.0]","[371896.0, 390653.0, 380150.0, 359213.0]","[1305.75, 1525.46, 2115.56, 2650.99]"
0.03,0.5986,0.7234,0.8015,"[116927.0, 120212.0, 111815.0, 116933.0]","[179187.0, 209042.0, 239214.0, 256654.0]","[372363.0, 391026.0, 380474.0, 359478.0]","[1296.4, 1518.69, 2110.33, 2647.39]"
0.032,0.5986,0.7234,0.8015,"[116795.0, 120128.0, 111763.0, 116892.0]","[178853.0, 208754.0, 238942.0, 256430.0]","[372831.0, 391399.0, 380798.0, 359743.0]","[1287.04, 1511.91, 2105.1, 2643.79]"
0.034,0.5987,0.7233,0.8015,"[116662.0, 120043.0, 111711.0, 116851.0]","[178518.0, 208466.0, 238670.0, 256205.0]","[373298.0, 391771.0, 381122.0, 360009.0]","[1277.66, 1505.12, 2099.85, 2640.18]"
0.036,0.5987,0.7233,0.8015,"[116529.0, 119959.0, 111659.0, 116811.0]","[178184.0, 208178.0, 238399.0, 255980.0]","[373765.0, 392144.0, 381446.0, 360274.0]","[1268.26, 1498.32, 2094.6, 2636.56]"
0.038,0.5988,0.7232,0.8015,"[116396.0, 119874.0, 111606.0, 116770.0]","[177850.0, 207890.0, 238127.0, 255756.0]","[374232.0, 392516.0, 381770.0, 360539.0]","[1258.83, 1491.51, 2089.34, 2632.94]"
0.04,0.5989,0.7232,0.8015,"[116263.0, 119790.0, 111554.0, 116729.0]","[177516.0, 207602.0, 237855.0, 255531.0]","[374699.0, 392888.0, 382094.0, 360805.0]","[1249.39, 1484.68, 2084.07, 2629.3]"
0.042,0.5989,0.7231,0.8015,"[116130.0, 119705.0, 111502.0, 116688.0]","[177183.0, 207315.0, 237583.0, 255307.0]","[375165.0, 393260.0, 382418.0, 361070.0]","[1239.93, 1477.84, 2078.79, 2625.66]"
0.044,0.599,0.7231,0.8015,"[115996.0, 119620.0, 111449.0, 116647.0]","[176850.0, 207027.0, 237311.0, 255082.0]","[375632.0, 393632.0, 382743.0, 361336.0]","[1230.45, 1470.99, 2073.5, 2622.01]"
0.046,0.5991,0.723,0.8015,"[115863.0, 119536.0, 111397.0, 116606.0]","[176517.0, 206740.0, 237039.0, 254858.0]","[376098.0, 394004.0, 383067.0, 361601.0]","[1220.94, 1464.13, 2068.21, 2618.35]"
0.048,0.5991,0.723,0.8015,"[115729.0, 119451.0, 111345.0, 116566.0]","[176184.0, 206453.0, 236767.0, 254633.0]","[376565.0, 394376.0, 383392.0, 361866.0]","[1211.42, 1457.26, 2062.9, 2614.68]"
0.05,0.5992,0.7229,0.8015,"[115596.0, 119366.0, 111292.0, 116525.0]","[175852.0, 206166.0, 236495.0, 254409.0]","[377031.0, 394748.0, 383716.0, 362132.0]","[1201.87, 1450.37, 2057.58, 2611.0]"
