Hour of day,Downtown active PSM,Downtown private PSM,Downtown bus PSM,Downtown subway PSM,Peri-urban active PSM,Peri-urban private PSM,Peri-urban bus PSM,Peri-urban subway PSM,Outskirts active PSM,Outskirts private PSM,Outskirts bus PSM,Outskirts subway PSM,Downtown MUI,Peri-urban MUI,Outskirts MUI,Downtown active directional angle,Downtown private directional angle,Downtown bus directional angle,Downtown subway directional angle,Peri-urban active directional angle,Peri-urban private directional angle,Peri-urban bus directional angle,Peri-urban subway directional angle,Outskirts active directional angle,Outskirts private directional angle,Outskirts bus directional angle,Outskirts subway directional angle
0,0.5,0.84,,,0.65,0.82,,,0.36,0.61,,,,,,79.4,94.9,,,79.0,98.2,,,91.3,85.9,,
1,0.54,0.85,,,0.68,0.83,,,0.38,0.6,,,,,,75.2,99.8,,,71.8,102.8,,,85.8,86.5,,
2,0.55,0.86,,,0.68,0.83,,,0.36,0.58,,,,,,72.9,100.5,,,65.9,91.4,,,76.8,67.8,,
3,0.53,0.86,,,0.66,0.83,,,0.34,0.56,,,,,,71.6,93.0,,,55.2,62.7,,,63.0,50.1,,
4,0.45,0.84,,,0.6,0.81,,,0.28,0.53,,,,,,62.3,56.6,,,34.4,28.7,,,35.4,22.7,,
5,0.39,0.84,0.55,0.91,0.54,0.8,0.63,0.88,0.25,0.53,0.55,0.77,0.85,0.76,0.6,42.2,35.2,74.9,74.2,20.0,23.9,52.4,54.1,23.3,21.5,48.5,41.0
6,0.4,0.79,0.57,0.88,0.55,0.8,0.64,0.86,0.26,0.56,0.58,0.76,0.86,0.76,0.62,36.9,42.6,72.3,72.6,19.0,36.4,53.8,55.2,24.0,36.0,51.1,42.2
7,0.45,0.76,0.61,0.89,0.6,0.8,0.67,0.86,0.31,0.59,0.62,0.77,0.86,0.77,0.62,47.7,53.6,75.1,75.0,28.7,46.3,60.5,60.7,36.5,48.9,59.7,54.6
8,0.52,0.78,0.68,0.93,0.66,0.8,0.72,0.89,0.38,0.61,0.66,0.79,0.87,0.77,0.63,61.0,65.0,78.6,78.3,41.2,47.3,66.0,65.3,50.9,54.1,67.8,67.8
9,0.54,0.82,0.75,0.96,0.7,0.83,0.77,0.92,0.43,0.64,0.71,0.83,0.87,0.78,0.64,64.2,77.8,82.2,82.2,46.5,55.2,72.2,72.4,56.3,60.6,74.2,77.4
10,0.54,0.85,0.8,0.98,0.72,0.85,0.8,0.95,0.44,0.65,0.74,0.86,0.87,0.78,0.64,68.9,94.5,85.8,86.3,55.6,69.3,79.7,80.9,65.5,62.1,79.8,86.5
11,0.54,0.85,0.82,0.98,0.72,0.86,0.83,0.96,0.43,0.66,0.75,0.87,0.87,0.78,0.64,88.3,105.5,88.9,88.5,80.0,83.5,85.8,86.3,76.6,62.0,83.4,92.6
12,0.56,0.86,0.83,0.98,0.73,0.86,0.83,0.95,0.44,0.66,0.75,0.86,0.87,0.78,0.64,78.4,95.6,89.2,88.6,78.0,75.7,87.3,87.7,70.5,51.2,84.6,94.8
13,0.54,0.85,0.83,0.97,0.72,0.86,0.83,0.96,0.43,0.67,0.75,0.86,0.87,0.78,0.64,75.7,100.3,89.4,89.6,79.6,88.9,88.7,90.7,78.6,64.3,86.7,99.4
14,0.54,0.86,0.82,0.97,0.72,0.86,0.83,0.96,0.43,0.67,0.75,0.88,0.87,0.78,0.64,95.3,111.4,91.4,92.0,101.8,107.9,92.2,96.0,93.5,85.0,90.6,107.0
15,0.54,0.85,0.81,0.96,0.72,0.86,0.82,0.95,0.44,0.66,0.74,0.86,0.87,0.78,0.64,107.0,122.0,93.9,94.0,115.1,118.2,95.7,99.9,101.8,99.2,94.4,110.5
16,0.53,0.83,0.78,0.95,0.71,0.85,0.8,0.93,0.42,0.64,0.72,0.85,0.87,0.78,0.64,112.5,126.5,96.6,96.0,122.5,124.9,99.8,103.6,108.3,109.3,98.0,114.1
17,0.52,0.79,0.76,0.93,0.69,0.83,0.79,0.91,0.39,0.61,0.71,0.83,0.87,0.78,0.64,121.9,130.0,99.3,99.2,137.6,136.3,105.7,111.3,123.2,125.9,103.6,123.9
18,0.5,0.79,0.75,0.93,0.65,0.81,0.77,0.9,0.36,0.59,0.68,0.81,0.87,0.77,0.64,129.9,130.5,100.4,101.7,150.9,143.4,112.2,118.8,143.7,136.9,113.1,138.3
19,0.45,0.78,0.72,0.93,0.63,0.81,0.75,0.9,0.34,0.6,0.67,0.81,0.87,0.77,0.63,128.0,127.1,98.7,100.6,150.1,140.5,113.2,118.6,149.2,131.5,117.2,140.9
20,0.43,0.77,0.7,0.93,0.61,0.81,0.75,0.9,0.33,0.61,0.67,0.81,0.87,0.77,0.63,121.4,126.1,97.4,98.9,143.3,137.0,110.2,114.3,142.2,130.2,115.1,133.8
21,0.4,0.77,0.69,0.93,0.6,0.8,0.73,0.9,0.33,0.6,0.66,0.81,0.87,0.77,0.62,119.1,124.0,96.4,98.0,140.0,137.7,107.5,111.9,137.2,126.2,111.0,129.6
22,0.39,0.78,0.69,0.94,0.59,0.8,0.72,0.9,0.33,0.6,0.65,0.79,0.86,0.77,0.62,117.7,119.8,93.8,95.5,138.9,135.1,101.2,105.8,132.3,118.6,103.9,120.2
23,0.43,0.81,,,0.62,0.82,,,0.34,0.61,,,,,,90.4,101.8,,,112.0,110.1,,,114.8,88.0,,
